chr	start.x	end.x	X	start.y	end.y
chr1	112700694	112701193	2045	112700188	112701767
chr12	14957733	14958232	9420	14955467	14958480
chr3	32398429	32398928	28477	32397767	32411232
chr8	21021803	21022302	39548	21019624	21025505
chr19	41546236	41546735	21326	41545017	41548798
chr18	44725647	44726146	19614	44723376	44726309
chr3	196634192	196634691	30639	196633611	196638754
chr9	35775194	35775693	41353	35774702	35776885
chr14	105069741	105070240	13785	105068578	105071594
chr1	24189373	24189872	604	24188753	24192354
chr3	13413952	13414451	28261	13413489	13415813
chr16	56911719	56912218	16143	56908433	56919186
chr8	1746726	1747225	39303	1743130	1748187
chr1	234976894	234977393	4192	234974395	234986154
chr6	5026066	5026565	34688	5025507	5026897
chr7	5557943	5558442	37429	5554528	5559060
chr19	13838946	13839445	20688	13833063	13844090
chr2	227783377	227783876	24930	227781048	227784730
chr21	44878604	44879103	27132	44875694	44884755
chr8	106055579	106056078	40453	106054560	106057654
chr12	49824840	49825339	9888	49819449	49826886
chr20	36098278	36098777	25904	36096735	36098958
chr3	50242742	50243241	28881	50239069	50245813
chr5	175694408	175694907	34434	175687476	175697240
chr10	69061556	69062055	5592	69055324	69066951
chr19	39403666	39404165	21212	39397094	39406013
chr2	43106902	43107401	22505	43094468	43113162
chr15	99503976	99504475	15221	99495091	99514916
chrX	134554287	134554786	43863	134553163	134555063
chr16	3258947	3259446	15403	3255656	3260302
chr1	65001167	65001666	1582	65000943	65002187
chr12	113233094	113233593	10958	113226339	113235332
chr9	113416302	113416801	42100	113415725	113417388
chr1	32100354	32100853	937	32099523	32101778
chr1	30743561	30744060	886	30737977	30753059
chr22	24275006	24275505	27331	24273806	24275595
chr17	49216928	49217427	18171	49215204	49220722
chr3	49352326	49352825	28851	49341406	49354050
chr9	93119760	93120259	41792	93110811	93130710
chr5	95835644	95836143	33403	95833078	95837254
chr4	85725679	85726178	31590	85720361	85739608
chr12	75478355	75478854	10364	75477599	75480222
chr1	13593456	13593955	294	13592664	13594782
chr3	11273896	11274395	28202	11273750	11275256
chr11	10623221	10623720	7089	10621849	10626090
chr12	1812577	1813076	9048	1809017	1814377
chr15	90035040	90035539	15081	90028164	90051018
chr16	67394749	67395248	16269	67395115	67395703
chr2	47336580	47337079	22641	47336428	47337427
chr12	100567157	100567656	10637	100567018	100567242
chr12	100567157	100567656	10638	100567495	100568076
chr15	77002999	77003498	14809	77002068	77004957
chr1	12180282	12180781	248	12169412	12190359
chr15	90064967	90065466	15083	90056382	90074266
chr1	145985384	145985883	2294	120341858	149175684
chr1	145985384	145985883	2340	145986943	145977339
chr1	145985384	145985883	2362	120913308	148460242
chr1	145985384	145985883	2397	121020772	149713009
chr1	145985384	145985883	2400	121041598	149733657
chrX	119618414	119618913	43768	119616354	119620302
chr4	1216744	1217243	30710	1216174	1220104
chr12	110605617	110606116	10893	110604196	110606856
chr1	54417213	54417712	1450	54416601	54417510
chr1	9233233	9233732	163	9232990	9234094
chr6	44218206	44218705	35783	44216703	44218468
chr15	72226627	72227126	14685	72226584	72228050
chr22	39306747	39307246	27755	39279184	39310963
chr9	221908	222407	41037	220097	225744
chrX	72121335	72121834	43538	72120761	72121928
chr10	110865155	110865654	6507	110857993	110869720
chr11	128908460	128908959	8922	128906476	128909906
chr9	136655802	136656301	42731	136654800	136657812
chr22	35396599	35397098	27555	35395667	35399134
chr14	99734610	99735109	13645	99730117	99738927
chr4	54688181	54688680	31335	54687519	54689113
chr9	136539084	136539583	42719	136537089	136542426
chr16	88790556	88791055	16779	88789155	88792267
chr6	166488033	166488532	37137	166486351	166491201
chr21	46622162	46622661	27196	46620474	46624852
chr6	166958312	166958811	37153	166958235	166961951
chr6	5087417	5087916	34693	5086767	5088766
chr9	91192874	91193373	41742	91190966	91195593
chr6	32944231	32944730	35435	32941761	32947415
chr12	31653162	31653661	9683	31652661	31654223
chr11	2891978	2892477	6896	2891969	2893261
chr16	21506888	21507387	15669	21506835	21507544
chr11	112179570	112180069	8581	112177262	112181166
chr3	186115202	186115701	30356	186113391	186116176
chr1	161532830	161533329	2893	161529514	161533522
chr15	56469404	56469903	14262	56469401	56469892
chr17	39754238	39754737	17871	39753273	39755491
chr17	16535573	16536072	17379	16535132	16537363
chr5	440896	441395	32427	439900	441504
chr8	144008913	144009412	41008	144006526	144014048
chr1	35811108	35811607	1029	35809709	35812100
chr16	50588978	50589477	16046	50587538	50593141
chr16	67488708	67489207	16273	67486320	67493594
chr2	169080246	169080745	24293	169078931	169082605
chr15	70328041	70328540	14661	70316304	70329991
chr3	183244786	183245674	30241	183243069	183248717
chr12	98607209	98607708	10623	98606350	98609427
chr11	93537001	93537500	8399	93536588	93539894
chr1	223137332	223137831	3877	223133592	223140252
chr3	48748738	48749237	28813	48745607	48752859
chr17	74521617	74522116	18705	74519229	74523047
chr17	16991295	16991794	17388	16986254	16991955
chr19	39397618	39398117	21212	39397094	39406013
chr7	141654440	141654939	39051	141654360	141655636
chr11	45080113	45080612	7369	45077713	45088610
chr15	51332028	51332527	14181	51329256	51338950
chr11	3030594	3031093	6909	3028815	3032118
chr7	134293001	134293500	38935	134292499	134294150
chr20	36843168	36843667	25931	36839481	36848725
chr9	5452142	5452641	41111	5452164	5456073
chr15	57560911	57561410	14292	57561167	57561511
chr18	54261863	54262362	19723	54260114	54262619
chr16	68079581	68080080	16314	68078031	68084225
chrX	50180144	50180643	43396	50179331	50181291
chr9	96146995	96147494	41820	96146766	96147018
chr1	205777958	205778457	3515	205777948	205779233
chr1	15836814	15837313	356	15832976	15838307
chr10	84171647	84172146	5951	84171497	84173041
chr22	21942433	21942932	27292	21935855	21944146
chr7	76404019	76404518	38310	76402550	76404507
chr2	88027644	88028143	23290	88026583	88029757
chr6	2846258	2846757	34583	2846109	2847444
chr18	3014056	3014555	19188	3014246	3021531
chr8	85459229	85459728	40278	85459036	85459431
chr8	85459229	85459728	40279	85459679	85459982
chr4	184384042	184384541	32346	184381283	184387948
chr3	121667271	121667770	29452	121665693	121672711
chr16	31474249	31474748	15970	31473572	31474844
chr17	31568084	31568583	17695	31566909	31568780
chr19	2061422	2061921	20119	2059902	2062988
chr10	122469111	122469610	6636	122467828	122478414
chr16	25048562	25049061	15731	25048264	25049470
chr9	114619376	114619875	42134	114615145	114620799
chrX	45758196	45758695	43308	45752359	45772679
chr11	30326343	30326842	7211	30325874	30327292
chr1	11790795	11791294	228	11786867	11794167
chr14	31410249	31410748	12599	31409345	31411136
chr1	161739777	161740276	2917	161738567	161741634
chr17	50930937	50931436	18226	50930201	50932521
chr17	41965682	41966181	17918	41965616	41965776
chr10	102452606	102453105	6374	102451893	102456547
chr5	36662505	36663004	32636	36649691	36667477
chr7	158834830	158835329	39292	158834695	158835597
chr13	108268734	108269233	12228	108268058	108269506
chr1	192521650	192522149	3334	192519366	192532200
chr6	31727426	31727925	35374	31725651	31727737
chr20	45368118	45368617	26078	45366528	45371061
chr16	23518455	23518954	15703	23517523	23525841
chr1	9825516	9826015	185	9824894	9826264
chr11	18720974	18721473	7188	18721269	18722337
chr17	78645899	78646398	18964	78643443	78648137
chr19	1856596	1857095	20097	1854308	1859363
chr18	21699415	21699914	19471	21699101	21699557
chr5	179791882	179792381	34506	179790858	179792261
chr4	140252637	140253136	32048	140252060	140253659
chr1	64956666	64957165	1580	64955554	64958045
chr8	100908405	100908904	40398	100908115	100909065
chr15	51097464	51097963	14161	51096585	51099357
chr9	70049151	70049650	41464	70048755	70049289
chr16	31128696	31129195	15944	31125974	31131339
chr1	9950270	9950769	192	9949812	9951934
chr3	113276213	113276712	29361	113274656	113277530
chr21	44503843	44504342	27127	44503944	44504428
chr1	21184165	21184664	528	21182550	21185080
chr17	50639197	50639696	18210	50638568	50641813
chr17	38700828	38701327	17817	38700229	38701561
chr10	11682324	11682823	4725	11660442	11687739
chr17	47949226	47949725	18138	47948918	47950124
chr19	48260058	48260557	21588	48259602	48260353
chr17	1764185	1764684	16979	1763922	1765777
chr12	93591355	93591854	10540	93590908	93592226
chr1	209747690	209748189	3713	209747530	209748054
chr5	177306905	177307404	34454	177305929	177308483
chr22	50539429	50539928	28068	50535850	50545366
chr8	17902866	17903365	39465	17902684	17910588
chr5	170475209	170475708	34332	170473358	170477197
chr19	44911100	44911599	21431	44909449	44913231
chr16	46658891	46659390	15979	46658575	46659649
chr13	40777093	40777592	11614	40776674	40777540
chr8	33554681	33555180	39791	33552953	33557262
chr14	58629251	58629750	12813	58629156	58629886
chr1	206924042	206924541	3640	206920547	206925903
chr11	112159058	112159557	8577	112157686	112160946
chr4	184392920	184393419	32348	184388832	184397735
chr17	74528504	74529003	18707	74526656	74532386
chr11	44954946	44955445	7362	44954139	44958298
chr22	41941188	41941687	27840	41939154	41941393
chr16	17173248	17173747	15595	17171034	17174407
chr7	30428694	30429193	37812	30423170	30438654
chr22	46071030	46071529	27970	46064949	46075536
chr15	45454759	45455258	14082	45454412	45455507
chr19	44912822	44913321	21431	44909449	44913231
chr8	17012857	17013356	39453	17012072	17015980
chr20	24998727	24999226	25729	24998027	25000581
chr12	51326571	51327070	9965	51324542	51330443
chr10	23448779	23449278	5023	23446599	23453831
chr19	48122054	48122553	21578	48116513	48124612
chr5	36655119	36655618	32636	36649691	36667477
chr13	109705214	109705713	12254	109703629	109708808
chr1	108664574	108665073	1875	108664234	108665416
chr14	105063477	105063976	13783	105063639	105063912
chr20	4811505	4812004	25368	4804621	4813125
chr20	44979237	44979736	26068	44976742	44981895
chr21	37257377	37257876	26887	37257002	37258869
chr1	28589949	28590448	861	28589080	28591914
chr10	49190022	49190521	5385	49188846	49190285
chr9	131729372	131729871	42601	131726183	131736085
chr17	30961168	30961667	17670	30946548	30963950
chr15	41967771	41968270	14017	41965308	41970840
chr15	51335678	51336177	14181	51329256	51338950
chr16	53064014	53064513	16087	53061337	53066821
chr20	47360463	47360962	26118	47356695	47363556
chr10	104324307	104324806	6451	104321767	104330745
chr6	148758381	148758880	36813	148757372	148763109
chr5	83473444	83473943	33256	83471098	83474916
chr17	74193369	74193868	18684	74192854	74194368
chr19	49533912	49534411	21673	49533002	49535715
chrX	112664915	112665414	43697	112664323	112665893
chr8	10716811	10717310	39384	10717193	10717335
chr18	70286925	70287424	19877	70282692	70287068
chr3	32401425	32401924	28477	32397767	32411232
chr12	14956199	14956698	9420	14955467	14958480
chr5	172956920	172957419	34393	172956525	172958287
chr1	186845463	186845962	3315	186840619	186852688
chr17	7922726	7923225	17234	7922410	7923779
chr4	2801076	2801575	30765	2795571	2808775
chr5	113515685	113516184	33536	113516111	113516701
chr15	76988539	76989038	14807	76987965	76989495
chr4	47442970	47443469	31300	47442455	47444138
chr10	124701422	124701921	6686	124695094	124710937
chr9	93098535	93099034	41790	93097577	93100654
chr18	58048965	58049464	19757	58048602	58049954
chr7	135980576	135981075	38959	135980043	135980894
chr4	2787057	2787556	30763	2785462	2788868
chr2	112839285	112839784	23686	112838008	112843790
chr9	127835855	127836354	42418	127832980	127839992
chr17	79831828	79832327	19001	79831092	79833094
chr12	4289276	4289775	9079	4287523	4291503
chr4	2764029	2764528	30761	2763685	2764702
chr1	205626144	205626643	3506	205625514	205627291
chr1	207942249	207942748	3679	207941229	207943584
chr5	180197182	180197681	34539	180193281	180205357
chr1	168145769	168146268	3016	168145435	168146484
chr15	63497717	63498216	14421	63495841	63503141
chr16	23571020	23571519	15707	23571312	23572260
chr7	22571736	22572235	37622	22566115	22573109
chr1	36150725	36151224	1045	36150035	36152082
chrX	66013551	66014050	43482	66006950	66015346
chr7	134444300	134444799	38938	134442799	134446044
chr19	31101858	31102357	21057	31102009	31102223
chr13	30408234	30408733	11531	30408037	30409405
chr21	43818534	43819033	27082	43818435	43820106
chr3	130857651	130858150	29715	130857211	130858532
chr9	136679326	136679825	42733	136678284	136680671
chr5	151215166	151215665	34133	151213508	151216266
chr3	136858392	136858891	29773	136855875	136859565
chr4	73731942	73732441	31424	73730667	73736410
chr1	121048219	121048718	2294	120341858	149175684
chr1	121048219	121048718	2362	120913308	148460242
chr1	121048219	121048718	2397	121020772	149713009
chr1	121048219	121048718	2400	121041598	149733657
chr14	105176369	105176868	13789	105173363	105177609
chr13	114128893	114129392	12379	114126229	114130172
chr4	152771669	152772168	32129	152769868	152774577
chr8	30149878	30150377	39777	30149338	30150882
chr22	39300238	39300737	27755	39279184	39310963
chr18	3596605	3597104	19212	3595456	3597817
chr10	97683533	97684032	6301	97683481	97684461
chr1	146369837	146370336	2294	120341858	149175684
chr1	146369837	146370336	2362	120913308	148460242
chr1	146369837	146370336	2397	121020772	149713009
chr1	146369837	146370336	2400	121041598	149733657
chr17	30952934	30953433	17670	30946548	30963950
chr20	32602912	32603411	25830	32600976	32606349
chr14	101005396	101005895	13672	101004182	101006776
chr17	50708485	50708984	18213	50708835	50710534
chr6	132790420	132790919	36493	132790024	132791790
chr1	16913761	16914260	395	16911701	16915322
chr9	120935334	120935833	42182	120933360	120936643
chr3	192957220	192957719	30545	192956603	192958915
chr5	119273512	119274011	33576	119273269	119273937
chrX	30597531	30598030	43140	30587730	30599405
chr17	67257744	67258243	18566	67256265	67261241
chr1	248873558	248874057	4424	248872771	248874243
chr11	821126	821625	6830	820968	822808
chr4	165203905	165204899	32258	165203909	165205114
chr19	8570870	8571369	20457	8563583	8574571
chr3	16253524	16254023	28304	16252709	16254793
chr3	130849010	130849509	29712	130848171	130850185
chr1	819768	820267	4	819793	819945
chr1	50096948	50097447	1379	50095168	50099932
chr4	2243562	2244061	30744	2242756	2247385
chr6	139279607	139280106	36687	139275444	139281015
chr16	3158604	3159103	15399	3157393	3159472
chr1	114149989	114150488	2081	114149422	114150997
chr3	109122605	109123104	29331	109122564	109122773
chrX	53088466	53088965	43404	53088221	53089306
chr17	8806698	8807197	17281	8802759	8808358
chr18	79403287	79403786	19994	79402414	79407568
chr6	144216273	144216772	36776	144214802	144217699
chr15	64144647	64145146	14444	64140421	64146835
chr1	92459730	92460229	1765	92457939	92460970
chrX	131816704	131817203	43842	131816349	131818014
chr21	44925032	44925531	27138	44921610	44927526
chr1	47192850	47193349	1358	47193115	47193470
chr10	110212055	110212554	6496	110212286	110212896
chr9	133340277	133340776	42635	133338601	133343215
chr5	78771812	78772311	33189	78771165	78772494
chr20	32111692	32112191	25803	32110997	32112980
chr17	4436831	4437330	17079	4434841	4437667
chr1	111508646	111509145	1993	111505901	111520327
chr12	7498728	7499227	9193	7496488	7501773
chr20	13791434	13791933	25488	13790795	13792833
chr5	72517837	72518336	33095	72517698	72518033
chr22	17570935	17571434	27232	17569416	17572311
chr4	186074250	186074749	32408	186070579	186077203
chr11	57432248	57432747	7474	57431897	57432935
chr7	22569873	22570372	37622	22566115	22573109
chr9	70406359	70406858	41471	70404853	70407559
chr22	17236913	17237412	27217	17236575	17237966
chr17	36088811	36089310	17786	36088728	36090968
chr17	60094793	60095292	18378	60094401	60095371
chr3	49350860	49351359	28851	49341406	49354050
chr2	172437622	172438121	24324	172437748	172438572
chr22	50538163	50538662	28068	50535850	50545366
chr14	71141080	71141579	13076	71141426	71144279
chr1	27631455	27631954	790	27628649	27634006
chr3	45560157	45560656	28678	45559228	45561462
chr6	166556940	166557439	37139	166554566	166558389
chr7	2510781	2511280	37288	2510240	2512729
chr19	34269884	34270383	21091	34268284	34273190
chr3	190533319	190533818	30511	190529888	190536108
chr11	12979925	12980838	7115	12980299	12980466
chr18	32391041	32391540	19538	32389664	32393144
chr18	36179895	36180394	19582	36179560	36181021
chr7	119206	119705	37205	118065	120999
chr1	111516001	111516500	1993	111505901	111520327
chr1	91024452	91024951	1761	91024217	91025338
chr3	150384755	150385254	29912	150383225	150386177
chr20	50270493	50270992	26260	50265802	50279405
chr15	85584023	85584522	15008	85577957	85585981
chr5	175690961	175691460	34434	175687476	175697240
chr10	11677373	11677872	4725	11660442	11687739
chr9	111282893	111283392	42041	111282814	111283704
chr11	44559540	44560039	7354	44559235	44560341
chr8	63146781	63147280	40163	63146434	63147810
chr8	30092642	30093141	39772	30089926	30094444
chr1	28248403	28248902	844	28246161	28249375
chr11	82895642	82896141	8333	82895377	82896479
chr7	95602301	95602800	38444	95597672	95612261
chr19	43779103	43779602	21411	43776657	43781306
chr17	42063605	42064104	17926	42061505	42066162
chr4	184385741	184386240	32346	184381283	184387948
chr7	2641487	2641986	37302	2634555	2643098
chr19	42567923	42568422	21386	42567261	42568592
chr1	152165190	152165689	2543	152164632	152166926
chr10	80199755	80200254	5921	80199260	80202089
chr6	52303965	52305400	35904	52302524	52308715
chr6	35302786	35303285	35553	35299905	35304794
chr15	90063819	90064318	15083	90056382	90074266
chr20	60045981	60046480	26471	60044599	60048118
chr9	110604228	110604727	42015	110604148	110605147
chr22	50183929	50184428	28042	50183501	50184255
chrX	153032559	153033058	43957	153032309	153033092
chr5	172179542	172180041	34350	172173131	172180618
chr7	47991684	47992183	38044	47991346	47992986
chr13	33542352	33542851	11589	33540894	33545867
chr11	9662322	9662821	7031	9661425	9662748
chr10	127899936	127900435	6723	127899262	127900839
chr1	228684542	228685041	3994	228684812	228685392
chr19	2289191	2289690	20141	2287231	2292076
chr4	6257215	6257714	30810	6256684	6258216
chr14	20430203	20430702	12403	20427202	20432429
chr1	26274748	26275247	694	26274100	26279208
chr1	121089808	121090307	2294	120341858	149175684
chr1	121089808	121090307	2362	120913308	148460242
chr1	121089808	121090307	2397	121020772	149713009
chr1	121089808	121090307	2400	121041598	149733657
chr15	75734869	75735368	14798	75734432	75735016
chr15	75734869	75735368	14799	75735258	75735681
chr2	240604250	240604749	25199	240604574	240605036
chr17	30960276	30960775	17670	30946548	30963950
chr11	69443259	69443758	7985	69442444	69446859
chr9	137417494	137417993	42766	137416726	137418124
chr8	47523542	47524041	39989	47521865	47528130
chr16	79509108	79509607	16525	79504727	79511313
chr1	225855912	225856411	3937	225855403	225857335
chr14	102500240	102500739	13702	102499427	102501531
chr16	79093629	79094128	16488	79093437	79094491
chr10	71358224	71358723	5669	71346830	71382579
chr12	6336461	6336960	9115	6332497	6339062
chr11	86202486	86202985	8371	86189326	86206630
chr11	9364267	9364766	7020	9363169	9365292
chr1	247407118	247407617	4397	247406501	247409278
chr16	66520323	66521270	16237	66515157	66527601
chr17	40108127	40108626	17886	40107423	40108915
chr3	49345085	49345584	28851	49341406	49354050
chr3	128145185	128145684	29623	128144478	128145928
chr22	23913844	23914343	27314	23913257	23914524
chr22	36862222	36862721	27611	36861694	36865257
chr5	95869336	95869835	33407	95856485	95874693
chr15	70320418	70320917	14661	70316304	70329991
chr17	49388104	49388603	18183	49387059	49392783
chr1	35800250	35800749	1026	35799876	35801442
chr7	76364028	76364527	38304	76363852	76365551
chrX	148380599	148381098	43929	148380114	148382136
chr19	9716298	9716797	20483	9715936	9718759
chr5	142015776	142016275	33924	142014816	142017130
chr6	107820501	107821000	36194	107820580	107820772
chr15	22956542	22957041	13817	22974293	22942998
chr15	78069961	78070460	14842	78050010	78074721
chr1	212667737	212668236	3772	212666422	212672510
chr1	20164795	20165294	494	20163787	20166586
chr7	957918	958417	37244	957443	958709
chrX	131813042	131813541	43841	131812015	131813310
chr1	178056104	178056603	3130	178055355	178058592
chr9	117777846	117778345	42167	117777261	117778780
chr1	36150198	36150697	1045	36150035	36152082
chr16	55534781	55535280	16125	55532083	55543203
chr19	47324361	47324860	21554	47319704	47326183
chr1	99758882	99759381	1834	99758155	99760283
chr19	863795	864294	20035	862875	864403
chr17	27635397	27635896	17537	27633587	27636979
chr17	30958174	30958673	17670	30946548	30963950
chr17	36082627	36083126	17784	36082078	36082660
chrX	3663834	3664333	42846	3663052	3664941
chr4	113784811	113785310	31857	113783005	113792513
chr8	56557811	56558310	40062	56557426	56558482
chr5	108762539	108763038	33494	108761159	108764162
chr3	98598180	98598679	29238	98597501	98599154
chr6	46772794	46773293	35873	46770184	46777909
chr7	76166393	76166892	38297	76166128	76167301
chr15	64835627	64836126	14470	64835545	64836939
chr6	137223625	137224124	36603	137220215	137244833
chr6	144055018	144055517	36768	144055448	144055938
chr1	76083137	76083636	1633	76078956	76083740
chr4	24973690	24974189	31012	24972489	24976499
chr10	71367107	71367606	5669	71346830	71382579
chr11	130458286	130458785	8962	130457808	130459029
chr9	19154080	19154579	41184	19154376	19155172
chr11	1850131	1850630	6863	1849060	1854650
chr1	156076667	156077166	2700	156076231	156077533
chrX	150695102	150695601	43946	150694621	150695136
chr22	45997364	45997863	27956	45995014	46002533
chr9	19441734	19442233	41190	19441330	19442180
chr7	120996287	120996786	38799	120993437	121001539
chr12	128817613	128818518	11316	128815765	128818957
chr8	130042296	130042795	40706	130041669	130046972
chr14	76772569	76773068	13234	76765598	76785896
chr15	64905431	64905930	14487	64904109	64905889
chr16	10828913	10829412	15478	10827107	10830300
chr17	78638987	78639486	18963	78638250	78640351
chr1	116497578	116498077	2102	116496245	116498534
chr3	112127577	112128076	29343	112127337	112128149
chr1	229999239	229999738	4033	229998302	230002272
chr18	59882091	59882590	19790	59881419	59883338
chr3	194586846	194587820	30580	194586298	194588222
chr21	44297562	44298061	27118	44297893	44298510
chr12	101777542	101778041	10650	101775938	101778420
chr8	12766518	12767017	39420	12764980	12767781
chr6	3162888	3163387	34630	3162522	3163828
chr5	141940938	141941437	33916	141938930	141948773
chr11	15649976	15650475	7150	15650324	15650528
chr14	90087388	90087887	13449	90085937	90087439
chr14	90087388	90087887	13450	90087668	90089184
chr14	20798225	20798724	12436	20796971	20799154
chr12	562135	562634	9001	559752	564694
chr1	111476646	111477145	1988	111476397	111492621
chr1	169802855	169803354	3053	169801891	169804213
chr15	51334054	51334553	14181	51329256	51338950
chr20	50271480	50271979	26260	50265802	50279405
chr1	151159255	151159754	2498	151158943	151161109
chr1	54408225	54408724	1449	54408247	54409082
chr1	212542703	212543202	3764	212541902	212544354
chr1	42797995	42798858	1239	42797360	42801565
chr15	44297039	44297538	14053	44295156	44298151
chr17	19904935	19905434	17474	19904145	19906688
chr15	74546098	74546597	14739	74545886	74546185
chr15	74546098	74546597	14740	74546503	74546873
chr19	44943734	44944233	21438	44941573	44945350
chr9	98108626	98109125	41861	98107763	98109750
chr7	47571618	47572117	38031	47567218	47580211
chr6	63353006	63353505	35953	63352260	63353509
chr10	98444265	98444764	6311	98444025	98445660
chr20	43657308	43657807	26047	43657302	43657757
chr1	27869165	27869664	802	27867937	27870703
chr19	39941768	39942267	21232	39932694	39955481
chr12	111775470	111775969	10934	111771919	111779554
chr1	203327192	203327691	3462	203319956	203328766
chr17	57950760	57951259	18298	57946050	57951892
chr1	198162363	198162862	3354	198161664	198162937
chrX	118350641	118351140	43721	118350012	118351337
chr17	74520732	74521231	18705	74519229	74523047
chr5	132427691	132428190	33694	132424879	132428662
chr10	45380085	45380584	5315	45376424	45386449
chr13	46382306	46382805	11690	46376437	46382347
chr19	5627480	5627979	20331	5626644	5629499
chr2	177239949	177240448	24380	177236939	177243843
chr15	31263753	31264252	13854	31262003	31268345
chr10	48649470	48649969	5361	48647681	48650738
chr1	167103848	167104347	2955	167103018	167106064
chr7	149494784	149495283	39122	149494717	149494912
chr7	149494784	149495283	39123	149495120	149496075
chr11	1832358	1832857	6858	1832373	1832513
chr7	74272412	74272911	38247	74269759	74273437
chr17	44348075	44348574	18044	44347254	44349411
chr22	29821073	29821572	27438	29820393	29823354
chr8	11877625	11878124	39406	11873863	11881379
chr2	43105922	43106421	22505	43094468	43113162
chr7	44980333	44980832	38000	44979345	44982133
chrX	66046851	66047350	43488	66045774	66055297
chr3	194570096	194570595	30574	194568923	194572781
chr14	105174498	105174997	13789	105173363	105177609
chr9	132372659	132373158	42616	132370301	132375107
chr5	115634615	115635114	33557	115634161	115634925
chr10	97406016	97406515	6290	97404994	97409234
chr10	80528127	80528626	5942	80522128	80531517
chr3	194491921	194492420	30565	194489502	194493090
chr7	1532923	1533422	37258	1533307	1534665
chr1	88701205	88701704	1708	88699470	88704351
chr16	81451672	81452171	16553	81451098	81454017
chr2	219603751	219604250	24856	219604105	219604699
chr16	66369016	66369515	16228	66368572	66369122
chr20	1954398	1954897	25277	1947993	1956439
chr15	90231067	90231566	15095	90230761	90231898
chr1	17123266	17123765	406	17120213	17125313
chr2	96533580	96534079	23356	96532434	96535138
chr2	229267055	229267554	24938	229266996	229267158
chr16	67520981	67521480	16280	67521218	67521895
chr1	23169578	23170077	568	23169730	23170408
chr7	143374546	143375045	39083	143374270	143376512
chr22	20968272	20968771	27278	20968145	20968926
chr15	99486413	99486912	15219	99483954	99489197
chr15	32866586	32867085	13872	32865933	32868197
chr10	112945698	112946197	6514	112945519	112946443
chr15	89911220	89911719	15070	89910304	89911773
chr22	37176412	37176911	27620	37175559	37178334
chr7	2529633	2530132	37292	2527135	2531387
chr2	127109172	127109671	23816	127108682	127110554
chr11	48103647	48104146	7463	48098925	48110908
chr3	46987630	46988129	28766	46987177	46991500
chr1	241551962	241552461	4256	241551255	241552691
chr4	1218798	1219297	30710	1216174	1220104
chr20	23145144	23145643	25608	23141325	23149528
chr6	42893907	42894406	35740	42891554	42896936
chr11	94534212	94534711	8416	94532223	94535663
chr20	50272063	50272562	26260	50265802	50279405
chr1	112841833	112842332	2054	112839655	112844512
chr20	41329533	41330032	26039	41329171	41330165
chr22	46047744	46048243	27966	46046601	46049242
chr22	39145420	39145919	27738	39144144	39147040
chr6	150861721	150862220	36884	150861544	150862884
chr8	106081624	106082123	40456	106078694	106088667
chr17	17283120	17283619	17400	17281971	17283839
chr1	52631824	52632323	1424	52632043	52632510
chr1	247409774	247410273	4398	247409590	247410885
chr22	50534090	50534589	28067	50532813	50535565
chr15	100833400	100833899	15254	100833097	100837130
chr5	16629352	16629851	32538	16629747	16630076
chr7	148966686	148967185	39111	148966240	148967183
chr7	6476113	6477055	37490	6475887	6477940
chr17	80263338	80263837	19027	80262173	80265793
chr6	48037858	48038357	35897	48037306	48038469
chr17	10156760	10157259	17332	10155314	10158651
chr7	141956064	141956563	39073	141950078	141962783
chr21	41369026	41369525	26972	41366937	41370457
chr16	22195599	22196098	15690	22195336	22196336
chr9	121492946	121493445	42226	121477762	121497300
chr8	81106915	81107414	40257	81103743	81107750
chr4	141207918	141208417	32074	141207333	141209145
chr16	10749615	10750114	15470	10748237	10755407
chr1	6509936	6510435	91	6505674	6511816
chr3	12810156	12810655	28246	12809799	12810709
chr17	57946742	57947241	18298	57946050	57951892
chr22	19844297	19844796	27258	19843874	19845092
chr7	99380088	99380587	38465	99376124	99382130
chr19	12885059	12885900	20647	12884652	12885134
chr17	41648592	41649091	17913	41648175	41649058
chr22	46593334	46593833	27992	46591125	46595231
chr10	79467624	79468123	5913	79466706	79470310
chr3	69082773	69083272	29150	69080840	69084301
chr13	95292527	95293026	12092	95284049	95299020
chrX	46628660	46629159	43317	46625831	46630189
chr7	141945418	141945917	39071	141944491	141947158
chr3	122889984	122890483	29510	122889486	122891625
chr7	22577572	22578071	37624	22576722	22580486
chr12	64621129	64621628	10252	64618104	64621375
chr19	49965612	49966111	21712	49964077	49969462
chr1	62800696	62801195	1572	62798860	62801700
chr9	112862098	112862597	42081	112856820	112865543
chr1	33433737	33434236	1000	33432811	33433914
chr1	111491033	111491532	1988	111476397	111492621
chr2	73080670	73081169	23122	73078735	73081931
chr17	47240755	47241254	18116	47237730	47241954
chr10	98133008	98133507	6308	98132355	98134197
chr11	128716681	128717180	8906	128712959	128722553
chr19	13842685	13843184	20688	13833063	13844090
chr1	231053282	231053781	4071	231052660	231055128
chr8	42331269	42331768	39953	42329524	42332795
chr12	92462054	92462553	10499	92461197	92466654
chr12	31317582	31318081	9675	31316718	31318636
chr10	27257303	27257802	5102	27256868	27257497
chr5	50449069	50449568	32780	50448322	50449987
chr12	111777199	111777698	10934	111771919	111779554
chr2	64767674	64768173	22884	64766365	64768793
chr15	30984956	30985455	13847	30983941	30986010
